question_id,chapter,difficulty,concept,content
608db822-8f7c-4318-bc66-7e0e5bfa7d3a,chuong-3,0.41,cong-thuc-ham,"Trong Microsoft Excel, hàm COUNT có ý nghĩa gì?"
0eec6ffc-b84d-47e7-bc97-27f3230811ea,chuong-3,0.57,excel,"Để chọn nhiều vùng cùng lúc trong Microsoft Excel, bạn cần giữ phím nào trong khi chọn?"
2b552291-9c1a-4d60-b083-8ae35430e96d,chuong-3,0.46,excel,"Trong Microsoft Excel (2013, 2016, 2019), để thiết lập độ rộng cột cho các ô đang chọn, bạn có thể thực hiện bằng cách nào?"
c2c89313-9ada-43e7-b253-5377f4b690a6,chuong-3,0.47,excel,"Trong Microsoft Excel (2013, 2016, 2019), để chèn một dòng bên trên dòng số 9, bạn cần thực hiện:"
16543896-781d-459b-b7c3-ef87432f8b4a,chuong-3,0.56,excel,"Trong bảng tính Excel, khối ô là tập hợp nhiều ô liền kề tạo thành hình chữ nhật. Địa chỉ khối ô được thể hiện như thế nào là đúng?"
bf673467-543b-4e77-afa3-9c126b457b09,chuong-3,0.51,excel,"Trong Microsoft Excel (2013, 2016, 2019), để xóa các dòng hoặc cột đang chọn, bạn có thể thực hiện bằng cách nào?"
690336f8-0370-4bd8-88ca-a48711f1c782,chuong-3,0.37,cong-thuc-ham,"Trong Microsoft Excel (2013, 2016, 2019), khi lập công thức tại ô A3 của Sheet1 nhưng muốn tham chiếu đến dữ liệu của ô B3 trong Sheet2 và nhân với 1000, thì công thức đúng là gì?"
14194e70-4964-495e-ae74-841660e8cfb2,chuong-3,0.54,excel,"Trong Microsoft Excel (2013, 2016, 2019), làm thế nào để chọn các dòng không kề nhau?"
81e0ccff-e2e9-447b-aa04-afa195047d22,chuong-3,0.47,excel,"Trong Microsoft Excel (2013, 2016, 2019), làm thế nào để chọn các cột kề nhau?"
22ac67d9-3eaa-428a-aad7-39baa82eb2dc,chuong-3,0.72,excel,"Trong Microsoft Excel (2013, 2016, 2019), khi tạo công thức, để chuyển địa chỉ ô hoặc vùng ô sang địa chỉ tuyệt đối, ta có thể nhấn phím nào?"
9fa2c513-ad93-4b42-ae9a-87a5d7a07797,chuong-3,0.66,excel,"Trong Microsoft Excel (2013, 2016, 2019), cách nào dưới đây là không đúng khi chọn các dòng kề nhau?"
481bb5ad-187a-4b74-a685-34592000614f,chuong-3,0.59,excel,"Trong các dạng địa chỉ sau, địa chỉ nào là địa chỉ tuyệt đối?"
e59169af-8cb8-4812-818d-bb021f2b4584,chuong-3,0.65,excel,"Trong Microsoft Excel (2013, 2016, 2019), làm thế nào để tạo một bảng tính mới dựa trên mẫu có sẵn?"
58b64ffd-3c48-456b-8e40-c0c8dd2333da,chuong-3,0.42,excel,"Trong Microsoft Excel (2013, 2016, 2019), định dạng địa chỉ ô nào dưới đây là chính xác?"
88993555-7692-484b-96f4-3b73787d0e22,chuong-3,0.55,cong-thuc-ham,"Trong Microsoft Excel, tại ô A10 nhập vào công thức =SUM(10, “23”). Kết quả trả lại là gì?"
f1d057ae-53a9-4edf-8150-aaaa4f77f002,chuong-3,0.68,excel,"Trong Microsoft Excel (2013, 2016, 2019), thẻ nào trên Ribbon cho phép kiểm tra lỗi chính tả, dịch từ, thêm chú thích vào các ô, và bảo vệ trang tính hoặc bảng tính?"
070660d0-c4b5-4120-bcb7-3dc3329ed7de,chuong-3,0.56,excel,"Trong Microsoft Excel (2013, 2016, 2019), vùng Name Box có chức năng gì?"
9a41513a-987f-4b36-bdaa-a9f2cb4cbcff,chuong-3,0.55,excel,"Trong Microsoft Excel (2013, 2016, 2019), khẳng định nào dưới đây là SAI?"
448ecc53-4427-4763-b51d-88b492c82843,chuong-3,0.81,excel,Đâu không phải là một chức năng thuộc về bảng tính Excel?
de59339f-8a93-4387-8bb2-a63143cc2414,chuong-3,0.75,excel,"Trong Microsoft Excel (2013, 2016, 2019), thao tác nào được thực hiện để nhập dữ liệu vào một ô?"
92cc6c84-6aab-474a-9f13-744d8cf909ca,chuong-3,0.75,dinh-dang-van-ban,"Trong Microsoft Word (2013, 2016, 2019), bạn cần chọn chức năng nào để thiết lập khổ giấy A5?"
409d90e8-757d-43b3-9931-d0d874be2cfe,chuong-3,0.83,office,"Trong Microsoft Word (2013, 2016, 2019), làm thế nào để lưu tài liệu với một tên khác?"
b2596624-6712-4dad-845e-32ad1d321e15,chuong-3,0.80,excel,"Trong Microsoft Excel (2013, 2016, 2019), để thôi cố định các dòng và cột, bạn cần thực hiện cách nào?"
38092360-2e2b-4498-9c41-6d852392a581,chuong-3,0.88,dinh-dang-van-ban,"Trong Microsoft Word (2013, 2016, 2019), để thay đổi lề của tài liệu, bạn chọn chức năng nào trong thẻ Page Layout?"
e1a4f2d8-f5f8-4984-81db-a59f5d6cc7dc,chuong-3,0.19,excel,"Trong Microsoft Excel (2013, 2016, 2019), một trang tính có bao nhiêu cột và cách đánh số của chúng như thế nào?"
53a623f1-c30b-4d02-a1ae-1eccaa9b282f,chuong-3,0.48,excel,"Trong Microsoft Excel (2013, 2016, 2019), khi sao chép công thức, nếu chỉ địa chỉ cột thay đổi còn địa chỉ dòng cố định thì đó là dạng địa chỉ gì?"
0c8a8762-55ea-491d-81ca-b2b4c441d613,chuong-3,0.82,dinh-dang-van-ban,"Trong Microsoft Word (2013, 2016, 2019), để đặt văn bản theo chiều giấy ngang, bạn cần chọn chức năng nào?"
bcdd31e8-3fe5-4e22-9676-2fbb0e546ad8,chuong-3,0.64,excel,"Trong Microsoft Excel (2013, 2016, 2019), để ẩn một cột, bạn cần thực hiện bằng cách nào?"
1a26411c-457d-4a48-93fe-2cdfee25255f,chuong-3,0.57,excel,"Trong Microsoft Excel (2013, 2016, 2019), để chèn một cột bên trái cột D, bạn cần thực hiện:"
83d97379-2a6a-43ef-a903-9fc82bc0a1b5,chuong-3,0.89,office,"Trong Microsoft Word (2013, 2016, 2019), để tạo chú thích cho văn bản, bạn cần thực hiện thao tác nào?"
f702bd28-6be2-49fd-b2ba-9e7c90b918f3,chuong-3,0.83,chen-doi-tuong,"Trong Microsoft Word (2013, 2016, 2019), để tạo chữ nghệ thuật, bạn cần chọn chức năng nào?"
a5b312a3-c47f-473a-9266-4e1ac0bfb108,chuong-3,0.64,word,"Trong Microsoft Word 2010, chức năng Watermark có tác dụng gì?"
64c3e5f6-8f4d-4531-a90e-66896d5f1923,chuong-3,0.58,office,"Trong Microsoft Word (2013, 2016, 2019), để tạo các đường và hình vẽ trong văn bản, bạn cần thực hiện các bước nào?"
be2e4bc9-1f56-4be1-a8ca-0e6428d542d6,chuong-3,0.58,dinh-dang-van-ban,"Trong Microsoft Word (2013, 2016, 2019), để áp dụng kiểu danh sách đơn cấp với các kí hiệu, bạn cần chọn mục nào trong nhóm Paragraph trên thẻ Home?"
1545d2db-766b-4f77-a7c7-3499e7a2de9e,chuong-3,0.74,dinh-dang-van-ban,"Trong Microsoft Word (2013, 2016, 2019), làm thế nào để thiết lập khoảng cách giữa đoạn văn bản hiện tại và đoạn văn bản phía trên?"
fc2b5b58-57e4-4789-8813-c3442398af94,chuong-3,0.84,dinh-dang-van-ban,"Trong Microsoft Word (2013, 2016, 2019), để thay đổi khoảng cách giữa các dòng thành 1.5 lines cho văn bản, bạn cần thực hiện các bước gì trong thẻ Home?"
0a07fd72-4561-4115-991e-e887b9e9e427,chuong-3,0.78,office,"Trong Microsoft Word (2013, 2016, 2019), nút lệnh Switch Windows trong thẻ View có tác dụng gì?"
ddc18865-5224-4a07-82c2-4db1423c5d8c,chuong-3,0.61,dinh-dang-van-ban,"Trong Microsoft Word (2013, 2016, 2019), hộp thoại Paragraph cho phép thực hiện điều gì?"
52d05011-1f38-43db-901b-cb868c6320d6,chuong-3,0.60,office,"Trong Microsoft Word (2013, 2016, 2019), để hiển thị thanh thước kẻ (Ruler), bạn cần thực hiện thao tác nào?"
d6b7854f-cbe3-4266-bb9c-eaa002bb1fb6,chuong-3,0.50,he-dieu-hanh,Đâu không phải là tên một hệ điều hành?
80c41dcf-fe93-4528-a758-c759f00556c5,chuong-3,0.69,office,"Các khái niệm page, sheet, slide đề cập tới các phần mềm là:"
e70b8246-ddcb-4f38-85ed-8bb997fc78db,chuong-3,0.63,excel,"Trong Microsoft Excel (2013, 2016, 2019), vùng Name Box có tác dụng gì?"
8c1f6be4-d222-4d5f-8253-081b38e3bc75,chuong-3,0.75,he-dieu-hanh,Đâu không phải là một thành phần của cửa sổ Window?
70dea206-1ddb-4582-a100-d11bd66d3f55,chuong-3,0.63,he-dieu-hanh,Chức năng nào không phải là nhiệm vụ chính của hệ điều hành?
c8142059-3640-41b5-bf6a-f1cb21ab01bd,chuong-3,0.47,excel,Vai trò chính của phần mềm bảng tính đối với người sử dụng?
00db2f0f-4168-483a-b178-75cabe2f747e,chuong-3,0.70,dinh-dang-tep,"Trong các phần mở rộng file sau, phần mở rộng nào được tạo ra bởi phần mềm PowerPoint 2007?"
f084387b-69f9-4dc8-ba3b-2f91f6232da3,chuong-3,0.40,office,Template đề cập tới
2f9e8176-2c31-4ff8-a4dc-8bca9a8d2460,chuong-3,0.66,he-dieu-hanh,"Để loại bỏ một chương trình không còn sử dụng nữa, người dùng thực hiện:"
275b5adb-460a-4c53-97e1-36087d9b986c,chuong-3,0.84,he-dieu-hanh,"Trong các hệ điều hành sau, hệ điều hành nào được công bố gần đây nhất?"
a865bfb7-9103-4fd8-ad4c-e49cda20eb89,chuong-3,0.38,he-dieu-hanh,"Trong một số phiên bản hệ điều hành Windows, khả năng tự động nhận biết các thiết bị phần cứng và tự động cài đặt cấu hình của các thiết bị là chức năng:"
9bf75e75-7be3-4286-9cd5-73af8f35dc78,chuong-3,0.70,excel,"Trong Microsoft Excel (2013, 2016, 2019), khi sao chép công thức, một địa chỉ mà có cả địa chỉ cột và địa chỉ dòng được thay đổi thì gọi là địa chỉ gì?"
ec4f17cc-02ce-4164-a299-806c00faea31,chuong-3,0.57,excel,"Trong Microsoft Excel (2013, 2016, 2019), khi sao chép công thức, một địa chỉ mà chỉ có địa chỉ dòng được thay đổi, còn địa chỉ cột cố định thì gọi là địa chỉ gì?"
5f4f805d-b1ec-49ba-8b3a-650dbbe35a22,chuong-3,0.40,office,"Trong Microsoft Excel (2013, 2016, 2019), thẻ nào của hệ thống Ribbon chứa các nút lệnh thiết lập in ấn?"
ac9564f8-a7c0-4866-820d-05bfeea7c310,chuong-3,0.34,excel,"Trong Excel, tập hợp các trang tính trong một tệp tin được gọi là gì?"
635be2ad-db56-4acb-be03-a3c038a65c6a,chuong-3,0.48,he-dieu-hanh,Hệ điều hành được xếp loại là:
7e320653-cd96-4019-9c92-b0740169c6f3,chuong-3,0.49,word,"Trong Microsoft Word (2013, 2016, 2019), khi soạn thảo văn bản muốn tạo ký tự to, rơi 1 số dòng trong một đoạn ta chọn chức năng nào?"
37caa003-da21-4acb-bf3a-0838f3d87a87,chuong-3,0.65,excel,"Trong Microsoft Excel (2013, 2016, 2019), nhấp chọn ô A2, giữ phím Shift và nhấp chọn ô D7 sẽ có tác dụng gì?"
da389d9e-7cc2-4fe7-b0b3-c174b000de8b,chuong-3,0.48,he-dieu-hanh,Trong hệ điều hành các tệp được tổ chức lưu trữ dưới dạng?
bb0976d8-2ec1-4e77-8524-4a2cd0437603,chuong-3,0.71,he-dieu-hanh,"Trong các đuôi tệp dưới đây, đuôi nào gắn với tệp có thể chạy trực tiếp trên hệ điều hành WINDOWS?"
57b081eb-f572-4f0e-9476-c2e9410f2b40,chuong-3,0.58,he-dieu-hanh,"Các ký tự nào sau đây không được dùng để đặt tên tệp, thư mục trong hệ điều hành Windows?"
9927ed1c-0b2b-4858-9f46-29de5db1e012,chuong-3,0.47,he-dieu-hanh,"Trong các tên dưới đây, đâu là tên của một hệ điều hành?"
21f96515-99d4-4120-acb6-15ea93ea7d78,chuong-3,0.78,he-dieu-hanh,Chọn phát biểu đúng về vai trò của hệ điều hành?
2843d93e-8bfe-4d6e-a362-c344486ef470,chuong-3,0.40,he-dieu-hanh,Hệ thống các chương trình đảm nhận chức năng làm môi trường trung gian giữa người sử dụng và phần cứng máy tính được gọi là?
d5f5e720-f637-41ff-9085-cb4bc67e4ff9,chuong-3,0.66,cong-thuc-ham,"Trong Microsoft Excel (2013, 2016, 2019), kết quả trả lại của công thức =IF(20>3,130,”Hello”) là gì?"
363ada37-4f3a-4d0d-834b-e55f2a8b4e18,chuong-3,0.75,he-dieu-hanh,"Trong Windows, để xóa hoàn toàn các đối tượng đã bị xóa và lưu trong Recycle Bin, bạn cần làm gì?"
a26dd6b9-1b64-415d-bf45-4f2565555acf,chuong-3,0.31,office,"Khi tìm kiếm tệp với tên tìm kiếm là baitap?.* thì những tệp nào có thể là kết quả của việc tìm kiếm, biết rằng có các tệp: baitap5.pdf, baitao9.doc, baitap10.doc và baitap8.pdf?"
0f5eb2e9-7648-4377-bbf4-68e3d6d1ee0f,chuong-3,0.65,office,"Trong Microsoft PowerPoint (2013, 2016, 2019), để mở Slide Master ta làm thế nào?"
f5485df8-0803-448f-a4b5-0d83e3632944,chuong-3,0.81,office,"Trong Microsoft PowerPoint (2013, 2016, 2019), để áp dụng các mẫu Themes có sẵn ta vào thẻ nào?"
0d8cca77-e443-448a-8d2c-e6c1c594fe94,chuong-3,0.60,chen-doi-tuong,"Muốn vẽ biểu đồ thể hiện tỷ lệ giữa các thành phần so với toàn thể, ta chọn loại biểu đồ nào?"
730be9c8-dab7-45e5-acca-a51e8d0a2d1a,chuong-3,0.53,office,"Trong Microsoft Excel (2013, 2016, 2019), để thêm trường tên tệp vào đầu trang, ta đặt con trỏ chuột tại vùng Header, sau đó trong nhóm Header and Footer elements của thẻ Design, chọn nút lệnh nào?"
c7af2e3d-c18b-4d6c-93af-527052db4426,chuong-3,0.68,office,"Trong Microsoft PowerPoint, muốn hiển thị các Slide thuận tiện việc sắp xếp các trang slide ta làm cách nào?"
8a07a5c8-793e-45cd-8502-e49c7a85be61,chuong-3,0.61,ppt,"Trong Microsoft PowerPoint, bạn hiểu Transition là gì?"
9504252b-ad7e-4648-b0e4-2ccac72a99de,chuong-3,0.54,ppt,"Trong Microsoft PowerPoint, bạn hiểu Animation là gì?"
163f3e7c-b78b-4922-b5bb-ce2e8feb15ee,chuong-3,0.42,office,"Để áp dụng việc in dòng tiêu đề tự động trên mọi trang bảng tính, trong thẻ Sheet của hộp thoại Page Setup, ta thiết lập tại mục nào?"
d9a34c58-9e15-4a7d-ad2d-3b1507efce83,chuong-3,0.38,cong-thuc-ham,"Trong Microsoft Excel (2013, 2016, 2019), công thức nào sau đây sẽ cho kết quả là giá trị TRUE?"
cd4c55c9-4ce4-4d1e-86a8-89acb5b49fff,chuong-3,0.66,office,"Trong Microsoft PowerPoint (2013, 2016, 2019), để chèn ngày tháng vào tất cả các Slide ta làm thế nào?"
cfc00746-e8c8-483a-a25b-229dafc6127e,chuong-3,0.88,office,"Trong Microsoft PowerPoint (2013, 2016, 2019), muốn đánh số cho các Slide ta thực hiện như thế nào?"
1cea3655-bbc3-4780-8bf5-6a1dc4274433,chuong-3,0.29,excel,"Trong Microsoft Excel (2013, 2016, 2019), một trang tính có tổng số bao nhiêu cột và được đánh số như thế nào?"
58353c73-48f1-4170-831a-0be4c58547ec,chuong-3,0.62,excel,Tập hợp các trang tính trong một file Excel được gọi là gì?
c6ddfa83-4cc9-41cc-a5d5-9e6f19163103,chuong-3,0.72,excel,"Trong Microsoft Excel (2013, 2016, 2019), một trang tính có tổng số bao nhiêu dòng và được đánh số như thế nào?"
fe54acb2-ac7d-4499-8ff5-9d42b32d1578,chuong-3,0.37,excel,"Trong Microsoft Excel (2013, 2016, 2019), đâu là một khẳng định SAI?"
b3b65adf-3b69-4c92-92cc-60e1a6e71c34,chuong-3,0.33,excel,"Trong Microsoft Excel (2013, 2016, 2019), vùng Formula Bar có tác dụng gì?"
b2b65d9c-eaeb-4562-903b-ed433328ade1,chuong-2,0.77,so-thuc,Trong chuẩn IEEE 754/85 dạng đơn (single) có độ dài:
f0d03fa2-b027-4325-8bb2-014711d76619,chuong-3,0.81,dinh-dang-tep,"Trong Microsoft Word 2010, để lưu tệp dưới định dạng .rtf, bạn cần làm gì?"
dd5438ba-87ca-499c-94e0-003e45a4838a,chuong-3,0.94,excel,"Trong công thức của Excel, thay vì sử dụng địa chỉ của một vùng thì ta có thể sử dụng tên đại diện của vùng đó. Để thực hiện định nghĩa tên cho một vùng ô thì sau khi chọn vùng ô ta chọn lệnh nào sau đây?"
7c735f5d-3ebd-4ae5-9aa5-5cb88323846a,chuong-3,0.62,excel,Phát biểu nào sau đây là SAI khi nói về nhập dữ liệu vào bảng tính Excel?
bad3e5b3-1df4-4d18-aba9-3a47168d54ee,chuong-3,0.57,excel,"Trong Microsoft Excel (2013, 2016, 2019), để ẩn một cột, ta thực hiện bằng cách nào?"
f8f3406e-221c-4043-a7ff-ded96938bd4e,chuong-3,0.46,he-dieu-hanh,Phát biểu nào về Windows Explorer chưa chính xác?
c1ae82ba-7fc2-4a58-9e3f-7bdc10f40c58,chuong-3,0.64,excel,"Trong Microsoft Excel (2013, 2016, 2019), khi sao chép công thức, một địa chỉ mà chỉ có địa chỉ cột được thay đổi, còn địa chỉ dòng cố định thì gọi là địa chỉ gì?"
e935d90d-56c2-4888-bac9-3cd8d8ee477d,chuong-3,0.48,excel,"Trong Microsoft Excel (2013, 2016, 2019), để xóa dữ liệu trong các ô đang chọn thì ta dùng cách nào?"
90f1b99f-cf8b-4b12-bac6-6c9c89715af0,chuong-3,0.58,office,"Trong Microsoft Excel (2013, 2016, 2019), thẻ nào của hệ thống Ribbon cho phép chèn công thức, đặt tên vùng (range), công cụ kiểm tra theo dõi công thức, điều khiển việc tính toán của Excel?"
aa40b0f1-5c1c-4577-92a2-d52d4099e0f6,chuong-2,0.36,bieu-dien-ki-tu,"Với bộ mã ASCII để mã hóa kí tự, phát biểu nào sau đây là sai?"
26323a18-b312-41f7-bdfd-f3813b902e75,chuong-3,0.83,chen-doi-tuong,"Trong Microsoft Word (2013, 2016, 2019), muốn điều chỉnh các cột trong bảng có độ rộng bằng nhau, ta chọn chức năng nào?"
85655002-4ade-4628-b8be-3e8b9cbf0879,chuong-3,0.69,chen-doi-tuong,"Trong Microsoft Word (2013, 2016, 2019), muốn di chuyển con trỏ chuột từ trái qua phải trong bảng ta sử dụng phím nào?"
81ffffb9-27b2-4c93-bcdf-fba748baaa9b,chuong-3,0.78,excel,"Trong Microsoft Excel (2013, 2016, 2019), thao tác nhấp chọn ô A2, giữ phím Shift và nhấp tiếp vào ô D7 có tác dụng gì?"
8b8092c2-867b-427e-9f33-8b35c14da667,chuong-3,0.57,dinh-dang-van-ban,"Trong Microsoft Word (2013, 2016, 2019), công cụ Format Painter có tác dụng gì?"
49cda2c7-fdfb-4742-b714-a4ef69b582eb,chuong-3,0.81,he-dieu-hanh,"Trong Windows Explorer, để sao chép tập tin/thư mục dùng tổ hợp phím nào?"
48228154-bca7-4ab2-bdde-af038fb95cb6,chuong-3,0.74,office,"Trong Microsoft Excel 2010, thẻ nào của hệ thống Ribbon cho phép thiết lập các chế độ hiển thị của bảng tính như: phóng to, thu nhỏ, chia màn hình,…?"
b8bb7d7a-6bd0-4c4e-8abe-68b3fc9e578c,chuong-3,0.71,excel,"Trong Microsoft Excel (2013, 2016, 2019), khi sao chép công thức, một địa chỉ mà có cả địa chỉ cột và địa chỉ dòng cố định thì gọi là địa chỉ gì?"
993a94f0-ab9e-49e3-8918-ff2bceaa3f30,chuong-3,0.61,word,"Trong Microsoft Word (2013, 2016, 2019), chức năng Watermark có tác dụng gì?"
1b1af17f-dec9-40f7-9b51-1248e684ec79,chuong-3,0.63,chen-doi-tuong,"Trong Microsoft Word (2013, 2016, 2019), muốn căn chỉnh lề trong ô của bảng, trong thẻ Layout ta chọn chức năng nào?"
83a79f22-e9b3-4fa5-afa8-2d002fbd91c8,chuong-3,0.62,he-dieu-hanh,"Trong Windows Explorer, để chọn tất cả các tệp và thư mục con trong thư mục đang xét, dùng tổ hợp phím:"
07435704-212b-4abe-9b4b-3865dd3b9db6,chuong-3,0.59,office,"Trong Microsoft Word (2013, 2016, 2019), Header và Footer không cho phép chèn đối tượng nào?"
ffcbae22-108f-44c2-b5e8-987744d0496d,chuong-3,0.89,chen-doi-tuong,"Trong Microsoft Word (2013, 2016, 2019), muốn thay đổi chiều cao của hàng trong bảng, trong thẻ Layout của nhóm thẻ Table Tools ta chọn chức năng nào?"
11a41169-5e69-4dc0-bf00-bead5cfcaa06,chuong-3,0.54,office,"Trong Microsoft Word (2013, 2016, 2019), muốn chọn in các trang lẻ của văn bản, ta chọn thẻ File, sau đó chọn chức năng nào?"
66f8d7b4-0f73-4f49-92f3-fe213e52e211,chuong-3,0.83,chen-doi-tuong,"Trong Microsoft Word (2013, 2016, 2019), muốn thêm một số ký tự đặc biệt, ta chọn chức năng nào?"
b91712aa-553c-4612-a272-89088c2caad8,chuong-3,0.95,office,"Trong Microsoft Word (2013, 2016, 2019), để soạn thảo công thức toán học phức tạp ta dùng công cụ nào?"
89131720-b3f0-487a-887b-a30dc494d5a7,chuong-3,0.87,chen-doi-tuong,"Trong Microsoft Word (2013, 2016, 2019), làm việc với bảng, muốn chia một ô thành nhiều ô, trong trong thẻ Layout của nhóm thẻ Table Tools ta chọn nút lệnh nào?"
2760b4ee-cd1c-4259-9709-0aa62f40bd02,chuong-3,0.71,office,"Trong Microsoft Word (2013, 2016, 2019), trong thẻ Go to của hộp hội thoại Find and Replace không cho phép tìm kiếm mục nào?"
00ea90d9-762c-453d-97f8-231f9aaeb38d,chuong-3,0.30,office,"Trong Microsoft Word (2013, 2016, 2019), muốn tạo phong cách (style) cho văn bản, ta chọn chức năng styles trong thẻ nào?"
5992556d-a6ca-4db7-80d9-2ca15c293cec,chuong-3,0.56,dinh-dang-van-ban,"Trong Microsoft Word (2013, 2016, 2019), muốn giảm thụt lề ta chọn chức năng nào?"
adb55854-bb9b-4d56-9fb5-86976184e931,chuong-2,0.63,bo-nho,"Trong các lí do sau, lí do nào giải thích việc dung lượng bộ nhớ ngoài có thể lớn hơn bộ nhớ trong rất nhiều?"
10770e46-cea6-45b5-9cb4-3d3ec94f6867,chuong-3,0.48,he-dieu-hanh,"Trong hệ điều hành Windows, các đối tượng đã bị xóa được lưu trong Recycle Bin, muốn xóa hẳn các đối tượng thì:"
e1b152fc-28fb-4600-b1c5-a047157307b6,chuong-3,0.55,office,"Trong Microsoft Word (2013, 2016, 2019) nút lệnh Switch Windows trong thẻ View có tác dụng gì?"
df4fe66f-3a78-4016-939c-1c472eaae7cf,chuong-3,0.59,office,"Trong Microsoft Word (2013, 2016, 2019), tổ hợp phím nào cho phép đưa con trỏ về đầu văn bản?"
2c751f40-9532-4909-b563-9c381bea29be,chuong-3,0.68,office,"Trong Microsoft Office, thanh Quick Access Toolbar dùng để làm gì?"
bf2a06cb-e344-42fb-af66-3de467521bca,chuong-3,0.38,he-dieu-hanh,Thao tác nào sau đây được dùng để chọn nhiều đối tượng không liên tiếp nhau trong hệ điều hành Windows?
77474b17-33b9-47dd-8ab9-8e73c46f8921,chuong-3,0.78,he-dieu-hanh,Chức năng nào không phải là chức năng của hệ điều hành?
fe7baa5e-b7ba-4d17-8c89-73cb728f419a,chuong-3,0.49,office,"Trong Microsoft Word (2013, 2016, 2019) muốn tạo một văn bản trống mới ta thực hiện các bước nào sau đây?"
f0a9412c-0d64-48d5-828f-da46fcc4b880,chuong-3,0.72,dinh-dang-tep,"Trong ứng dụng Microsoft Word 2010, để chuyển đổi định dạng tệp sang kiểu .rtf ta thực hiện:"
063c89fc-c74f-4635-8d1d-8a8bf0f50ae5,chuong-3,0.82,dinh-dang-tep,"Trong Microsoft Word 2007 trở đi, file có phần mở rộng mặc định là gì?"
b8af18ce-ca93-4591-99c8-19fa518c74b4,chuong-2,0.53,so-thuc,"Đối với chuẩn IEEE 754/85 về biểu diễn số thực, phát biểu nào sau đây là sai?"
e9687055-4571-464a-bafa-f19889dd4606,chuong-3,0.82,office,"Trong Microsoft Excel (2013, 2016, 2019), để tạo bảng tính mới theo mẫu cho trước, ta thực hiện bằng cách nào?"
c555a610-e71d-4121-8b09-6415958af5d8,chuong-2,0.53,so-thuc,Trong chuẩn IEEE 754/85 dạng kép (double) có độ dài:
88558be4-24b4-4d72-96be-96253c1f5b17,chuong-2,0.46,bo-nho,Phát biểu nào sau đây là SAI?
539da41d-f192-48af-8947-f7623bb8a743,chuong-2,0.65,so-thuc,Đối với dạng kép mở rộng chuẩn IEEE 754/85 dành số bit cho các trường S + E + M lần lượt là:
